ng_word,replacement,reason,risk_level
劇的な○○,無理なくケアできる,「劇的な～」は効果の過度な強調となり、実態と異なれば誇大広告になります,mid
すぐ効く,毎日のケアに取り入れたくなる使用感,即効性を保証する「すぐ効く」は虚偽または誇大な表現と判断されます,high
皮膚科医が推薦,科学的根拠に基づいた成分を配合,医師など第三者の推薦を謳うと消費者への影響が大きく禁止されています,high
医療レベルのエイジングケア,最新のエイジングケア（年齢に応じたお手入れ）,「医療レベル」は医療と同等の効果を示唆し、化粧品広告では不適切です,high
クリニック品質,高品質な処方,「クリニック品質」は医療機関と同等の効果・品質を想起させるためNGです,high
○○点滴コスメ,○○美容コスメ,医療行為を連想させる「点滴」という表現は避けるべきです,high
効果大,効果が期待できる,効果を絶対的に大きいと示す表現は根拠なく用いると誇大広告となります,high
優れた効果,十分な効果が期待できる,「優れた効果」など最大級の効能表現は客観的証拠がなければ使えません,high
実感（例：「効果を実感」）,満足の声多数,「～を実感」は誰もが効果を感じるかの保証表現になり注意が必要です,mid
効能評価試験済み,乾燥による小ジワを目立たなくする試験済み,効能評価試験済みと記載する場合は条件・注釈付きでないと認められません,mid
アレルギーテスト済み,アレルギーテスト済み※すべての方にアレルギーが起きないわけではありません。,アレルギーテスト済みとする場合は但し書きを伴わないと誤認を与えます,mid
低刺激,低刺激※すべての方に皮膚刺激が起きないわけではありません。,「低刺激」も強調すると全員に刺激がない保証と受け取られる恐れがあります,mid
一日中メイクが崩れない,メイク崩れしにくい処方,全く崩れないと断言すると実証が難しく、景表法上問題になる可能性があります,mid
24時間うるおう,長時間うるおう,長時間持続などの時間を保証する表現は科学的根拠がなければ誇大となります,mid
ニキビ跡が消える,ニキビ跡を目立たなくするメイク効果,ニキビ跡が消える＝治癒を意味し、化粧品では効能外の不適切な表現です,high
黒ずみが消える,古い角質や汚れを落として明るい肌に,黒ずみが消えると謳うのは美白効果の保証となり、薬機法上許されません,high
デトックス効果,スッキリとした洗い上がり,「デトックス」は医学的根拠がなく、暗に体調改善を謳う表現は注意が必要です,mid
レーザー級の効果,集中的なシミ対策ケア,医療機器であるレーザーと同等の効果を謳うのは明らかに誇大広告です,high
手術級の効果,引き上げケアでハリを与える,手術と同等の効果を標榜するのは虚偽にあたり重大な違反となります,high
飲む日焼け止め,紫外線対策を内側からサポートするサプリ,経口摂取で日焼け止め効果を謳うのは許可されておらず行政処分事例もあります,high
あらゆる肌悩みを解決,総合的に肌にアプローチするケア,あらゆる悩みを「解決」と断定すると虚偽誇大な表現になります,high
肌の奥まで浸透,角質層まで浸透,「肌の奥まで」は角質層より深部を想起させ、薬機法上許されない表現です,mid
細胞に働きかける,角質層にアプローチ,細胞レベルに作用すると謳うのは人体への強い作用を示唆し違反となります,high
DNAを修復する,肌を保護する,DNA修復などの表現は医薬品の効果を謳うもので化粧品広告には不可です,high
薬用と同じ効果,潤いケアで健やかな肌へ,医薬部外品と同等の効果を謳えば未承認医薬品の広告と見なされます,high
マイナス○歳肌,年齢に応じたお手入れ,実年齢より若い肌を数値で示す表現は誇大であり認められません,high
3日で効果実感,継続使用で変化を目指す,短期間で誰もが効果を得られると誤解させる表現は避けるべきです,mid
絶対にニキビができない,ニキビができにくい肌に整える,ニキビが絶対にできないという保証表現は虚偽の誇大広告に当たります,high
絶対に落ちない,落ちにくい,「絶対落ちない」は過度な保証であり、実際に落ちる可能性もあるためNGです,mid
脂肪を燃焼する,マッサージで引き締める,脂肪の燃焼効果は医薬品的な効能であり、化粧品では標榜できません,high
セルライトを消す,肌を滑らかにする,セルライト除去は医療行為の領域であり、化粧品では謳えません,high
妊娠線が消える,妊娠線を目立たなくするケア,妊娠線を消す＝傷跡治療の効能となり、薬機法上認められません,high
塗るボトックス,ハリを与える美容液,「塗るボトックス」は医薬品と同等の作用を謳う不適切な表現です,high
白髪が黒髪に戻る,ツヤのある髪に見せる,白髪が黒髪に戻る＝毛髪の構造変化を伴う効果は化粧品では出せません,high
癒す（例：「疲れを癒す」）,リラックスさせる香り,「癒す」は医療的な治癒を想起させ、単なるリラックス効果以上に誤解を与えます,mid
ステロイド不要（例：「ステロイドを使わずに治す」）,敏感な肌をやさしくケア,ステロイドなど医薬品を不要とする効果の謳い文句は違法性が高いです,high
メラニンを破壊する,メラニンの生成を抑える,メラニンを破壊するほどの作用は化粧品にはなく、医薬品的表現です,high
血行を良くする,マッサージで巡りをサポート,血行促進の効能は医薬品の範囲であり、化粧品広告では使用不可です,high
新陳代謝を高める,肌サイクルを整える,新陳代謝を上げるなど生理機能の向上表現は薬機法で禁止されています,high
ホルモンバランスを整える,心地よい香りでリラックス,ホルモンバランスへの言及は医療効果の暗示となりNGです,high
免疫力を高める,肌をすこやかに保つ,免疫力増強は医薬品的効能の典型例で、健康食品でも表示不可の内容です,high
殺菌する,肌を清潔に保つ,殺菌効果の標榜は医薬部外品でない化粧品には許されません,high
炎症を抑える,肌荒れを防ぐ,炎症を抑える効能は医薬品の領域であり、化粧品には認められません,high
疲労回復,リフレッシュできる,「疲労回復」は医薬品的な効能表現で、化粧品では使用できません,high
ストレスを軽減する,気分をリラックスさせる,ストレス軽減など精神状態の改善効果は薬機法上認められない表現です,mid
